English	Welsh
Isle of Anglesey	Ynys Môn
Gwynedd	Gwynedd
Conwy	Conwy
Denbighshire	Sir Ddinbych
Flintshire	Sir y Fflint
Wrexham	Wrecsam
Powys	Powys
Ceredigion	Ceredigion
Pembrokeshire	Sir Penfro
Carmarthenshire	Sir Gaerfyrddin / Sir Gâr
Swansea	Abertawe
Neath Port Talbot	Castell-nedd Port Talbot
Bridgend	Pen-y-bont ar Ogwr
Vale of Glamorgan	Bro Morgannwg
Cardiff	Caerdydd
Rhondda Cynon Taf	Rhondda Cynon Taf
Merthyr Tydfil	Merthyr Tudful
Caerphilly	Caerffili
Blaenau Gwent	Blaenau Gwent
Torfaen	Torfaen
Monmouthshire	Sir Fynwy
Newport	Casnewydd
